epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,501.39,1.39412,3.65073,1.2736,0.21583,0.39736,0.21796,0.13525,1.32209,2.8923,1.19209,0.0033294,0.0033294,0.0033294
2,996.62,1.36385,2.43842,1.25796,0.29284,0.37979,0.28238,0.15831,1.48048,2.84097,1.25527,0.00653081,0.00653081,0.00653081
3,1489.68,1.44695,2.14383,1.32575,0.25709,0.30114,0.20191,0.11031,1.53285,2.71575,1.36957,0.00960022,0.00960022,0.00960022
4,1983.57,1.47852,1.82234,1.36721,0.35023,0.32252,0.31165,0.18811,1.46454,2.19169,1.27026,0.009406,0.009406,0.009406
5,2471.98,1.43318,1.56614,1.34342,0.38991,0.35756,0.32469,0.20128,1.38743,2.03328,1.23405,0.009208,0.009208,0.009208
6,2947.62,1.38707,1.40488,1.31601,0.33349,0.41091,0.3301,0.20517,1.44179,2.08568,1.21874,0.00901,0.00901,0.00901
7,3423.64,1.35467,1.32683,1.29983,0.36903,0.3691,0.34886,0.22797,1.34485,1.78657,1.24313,0.008812,0.008812,0.008812
8,3899.48,1.32592,1.24717,1.27862,0.43226,0.39701,0.36711,0.23764,1.2879,1.87757,1.17709,0.008614,0.008614,0.008614
9,4376.02,1.30546,1.19183,1.26677,0.47015,0.24315,0.2559,0.16317,1.45791,2.48355,1.27461,0.008416,0.008416,0.008416
10,4852.42,1.31432,1.15575,1.26846,0.59619,0.40145,0.41012,0.28458,1.28553,1.84668,1.19319,0.008218,0.008218,0.008218
11,5328.41,1.28662,1.10598,1.25549,0.42517,0.36104,0.37075,0.25055,1.27377,1.87859,1.16694,0.00802,0.00802,0.00802
12,5804.21,1.2639,1.07259,1.24261,0.45172,0.39237,0.41376,0.27813,1.31049,1.72718,1.17067,0.007822,0.007822,0.007822
13,6280.2,1.26915,1.03853,1.24113,0.58022,0.3868,0.37941,0.25325,1.30833,1.84591,1.20312,0.007624,0.007624,0.007624
14,6756.07,1.24549,1.00248,1.23363,0.4795,0.426,0.41799,0.28889,1.2283,1.77489,1.14729,0.007426,0.007426,0.007426
15,7231.78,1.25072,1.00252,1.23585,0.43762,0.46846,0.41496,0.28621,1.24141,1.88274,1.14004,0.007228,0.007228,0.007228
16,7708.8,1.22595,0.96134,1.22081,0.57086,0.429,0.38851,0.26587,1.20676,1.79934,1.12776,0.00703,0.00703,0.00703
17,8184.51,1.21377,0.94395,1.21084,0.37892,0.47207,0.38845,0.25801,1.29119,1.73563,1.1588,0.006832,0.006832,0.006832
18,8660.37,1.22248,0.93957,1.2124,0.47566,0.37127,0.40369,0.27201,1.28438,1.81369,1.16133,0.006634,0.006634,0.006634
19,9136.23,1.21411,0.92135,1.21157,0.64951,0.4245,0.41654,0.29192,1.24288,1.85735,1.13536,0.006436,0.006436,0.006436
20,9611.99,1.19392,0.88787,1.19783,0.43454,0.47365,0.42925,0.29428,1.23956,1.58322,1.14651,0.006238,0.006238,0.006238
21,10087.9,1.1996,0.88358,1.20209,0.58496,0.40507,0.3838,0.27009,1.19167,1.77567,1.1161,0.00604,0.00604,0.00604
22,10563.6,1.19461,0.87783,1.19777,0.43769,0.46613,0.41584,0.29544,1.15797,1.73025,1.09901,0.005842,0.005842,0.005842
23,11039.5,1.17371,0.84462,1.19018,0.46123,0.4819,0.4146,0.28182,1.25216,1.63181,1.1359,0.005644,0.005644,0.005644
24,11515.4,1.17585,0.83735,1.18794,0.47426,0.53491,0.45524,0.31822,1.19491,1.48543,1.11256,0.005446,0.005446,0.005446
25,11990.2,1.17542,0.82784,1.18882,0.44447,0.47617,0.42691,0.29575,1.21144,1.6537,1.12295,0.005248,0.005248,0.005248
26,12464.9,1.15728,0.80602,1.18198,0.40326,0.47201,0.41682,0.28805,1.2277,1.5442,1.12638,0.00505,0.00505,0.00505
27,12941,1.16028,0.80356,1.18095,0.67966,0.43591,0.45679,0.31905,1.21988,1.64741,1.13052,0.004852,0.004852,0.004852
28,13415.5,1.14418,0.77714,1.17086,0.46241,0.39913,0.38413,0.26749,1.22163,1.82817,1.13212,0.004654,0.004654,0.004654
29,13890.1,1.14679,0.77808,1.17105,0.46391,0.40517,0.42948,0.30383,1.2022,1.72289,1.13284,0.004456,0.004456,0.004456
30,14365.1,1.14102,0.76149,1.17082,0.46537,0.41623,0.42373,0.29507,1.21479,1.69758,1.12447,0.004258,0.004258,0.004258
31,14839.8,1.13811,0.74983,1.16232,0.47602,0.5373,0.45158,0.32238,1.19414,1.56813,1.11901,0.00406,0.00406,0.00406
32,15314.4,1.12649,0.74609,1.16579,0.41182,0.48773,0.42884,0.30453,1.21711,1.75402,1.12632,0.003862,0.003862,0.003862
33,15789.1,1.12513,0.73831,1.16052,0.45367,0.5005,0.42445,0.30113,1.18211,1.58411,1.10437,0.003664,0.003664,0.003664
34,16263.8,1.11497,0.72696,1.15529,0.4787,0.51363,0.44666,0.31667,1.17533,1.55299,1.10584,0.003466,0.003466,0.003466
35,16739.8,1.11753,0.72061,1.1606,0.43613,0.53339,0.44188,0.31338,1.19336,1.65088,1.11538,0.003268,0.003268,0.003268
36,17214.3,1.1168,0.70713,1.15738,0.46764,0.52378,0.44592,0.31383,1.22216,1.80166,1.12906,0.00307,0.00307,0.00307
37,17690.3,1.0918,0.6942,1.14436,0.44742,0.55441,0.46198,0.32297,1.19643,1.58108,1.11665,0.002872,0.002872,0.002872
38,18166,1.0966,0.69555,1.14892,0.48252,0.52885,0.46614,0.33142,1.17148,1.57909,1.10187,0.002674,0.002674,0.002674
39,18641.9,1.09182,0.6791,1.14401,0.46767,0.51342,0.44494,0.32009,1.16908,1.67605,1.10246,0.002476,0.002476,0.002476
40,19117.6,1.09677,0.67819,1.14332,0.48523,0.52131,0.45226,0.32086,1.18378,1.56951,1.11792,0.002278,0.002278,0.002278
41,19602.8,1.1093,0.57413,1.16261,0.4687,0.54537,0.45307,0.32023,1.19567,1.60337,1.11385,0.00208,0.00208,0.00208
42,20076.3,1.09616,0.55615,1.15102,0.45437,0.53453,0.46376,0.33108,1.22163,1.60127,1.1215,0.001882,0.001882,0.001882
43,20550,1.08924,0.55092,1.1477,0.47667,0.48032,0.44039,0.31246,1.22375,1.65256,1.1246,0.001684,0.001684,0.001684
44,21022.3,1.08105,0.5393,1.14211,0.4645,0.46922,0.43105,0.30611,1.21098,1.70613,1.12278,0.001486,0.001486,0.001486
45,21495.5,1.071,0.52923,1.13308,0.46526,0.5045,0.42712,0.30288,1.22111,1.75681,1.12632,0.001288,0.001288,0.001288
46,21967.9,1.0594,0.52546,1.12929,0.48269,0.45268,0.44092,0.31222,1.21512,1.71026,1.12245,0.00109,0.00109,0.00109
47,22440.3,1.05618,0.51286,1.12623,0.50518,0.40226,0.41964,0.29692,1.21145,1.78905,1.12169,0.000892,0.000892,0.000892
48,22912.5,1.04731,0.50332,1.11994,0.48225,0.4107,0.42507,0.2988,1.2209,1.83471,1.12662,0.000694,0.000694,0.000694
49,23385.2,1.03993,0.49263,1.11593,0.4954,0.40831,0.42175,0.29687,1.21702,1.86173,1.1257,0.000496,0.000496,0.000496
50,23857.5,1.03447,0.48988,1.11653,0.49403,0.40105,0.41431,0.29282,1.21877,1.87698,1.12843,0.000298,0.000298,0.000298
